# Species	Genes	Alg.-Conn.	Pb_filNoH.faa	Pc_filNoH.faa	Pf_filNoH.faa	Pk_filNoH.faa	Pv_filNoH.faa	Py_filNoH.faa	Tg_filNoH.faa	h_tartakovskyi_filteredNoH.faa
7	7	0.429	6683_g	1378_g	1664_g	1424_g	1353_g	4788_g	*	1531_g
7	7	0.429	6730_g	2853_g	4988_g	2929_g	2823_g	2778_g	*	2103_g
7	7	0.429	918_g	4451_g	2608_g	4558_g	4456_g	3999_g	*	451_g
7	7	0.404	1147_g	4762_g	2910_g	4871_g	4761_g	3707_g	*	1184_g
7	7	0.404	1628_g	4416_g	2571_g	4522_g	4419_g	4036_g	*	2149_g
7	7	0.404	2062_g	2191_g	2174_g	2248_g	2147_g	1240_g	*	2952_g
7	7	0.404	2285_g	3548_g	3200_g	3628_g	3555_g	3179_g	*	138_g
7	7	0.404	2826_g	3274_g	926_g	3339_g	3253_g	3212_g	*	2667_g
7	7	0.404	2864_g	4730_g	2882_g	4842_g	4732_g	3734_g	*	2079_g
7	7	0.404	3165_g	746_g	3424_g	782_g	722_g	49_g	*	1730_g
7	7	0.404	3494_g	4401_g	3726_g	4512_g	4408_g	2805_g	*	2378_g
7	7	0.404	4189_g	3766_g	4006_g	3844_g	3762_g	2939_g	*	1657_g
7	7	0.404	5335_g	1560_g	1611_g	1613_g	1539_g	2703_g	*	1547_g
7	7	0.404	799_g	2518_g	2512_g	2594_g	2479_g	1560_g	*	1861_g
7	7	0.398	1183_g	14_g	4726_g	17_g	10_g	919_g	*	489_g
7	7	0.398	1456_g	4350_g	3781_g	4459_g	4360_g	2855_g	*	2451_g
7	7	0.398	2294_g	1421_g	1976_g	1465_g	1396_g	4829_g	*	1871_g
7	7	0.398	2477_g	865_g	411_g	901_g	845_g	244_g	*	457_g
7	7	0.398	2619_g	1061_g	215_g	1095_g	1042_g	423_g	*	1223_g
7	7	0.398	3914_g	4089_g	3058_g	4182_g	4106_g	3536_g	*	1769_g
7	7	0.398	557_g	1254_g	1786_g	1300_g	1233_g	4669_g	*	219_g
7	7	0.398	6435_g	4777_g	2924_g	4884_g	4775_g	3693_g	*	2098_g
7	7	0.398	7226_g	4111_g	3079_g	4206_g	4128_g	3560_g	*	2577_g
7	7	0.385	1010_g	977_g	297_g	1008_g	961_g	342_g	*	1253_g
7	7	0.385	125_g	834_g	442_g	866_g	816_g	215_g	*	1008_g
7	7	0.385	1450_g	4662_g	2815_g	4770_g	4661_g	3797_g	*	1392_g
7	7	0.385	2078_g	3060_g	4920_g	3127_g	3032_g	4244_g	*	2702_g
7	7	0.385	2380_g	2158_g	2141_g	2212_g	2115_g	1209_g	*	1742_g
7	7	0.385	2687_g	741_g	3429_g	776_g	717_g	54_g	*	358_g
7	7	0.385	2762_g	911_g	362_g	950_g	893_g	288_g	*	3177_g
7	7	0.385	2771_g	3686_g	3333_g	3774_g	3610_g	3049_g	*	918_g
7	7	0.385	3113_g	1913_g	40_g	1948_g	1876_g	974_g	*	483_g
7	7	0.385	3185_g	2098_g	1127_g	2146_g	2056_g	1150_g	*	1326_g
7	7	0.385	3189_g	1800_g	1378_g	1841_g	1767_g	2477_g	*	3107_g
7	7	0.385	3464_g	4734_g	2886_g	4846_g	4736_g	3730_g	*	3423_g
7	7	0.385	3934_g	175_g	4568_g	187_g	170_g	4353_g	*	2349_g
7	7	0.385	4030_g	4449_g	2606_g	4556_g	4454_g	4001_g	*	3199_g
7	7	0.385	4184_g	1146_g	1883_g	1189_g	1129_g	510_g	*	1783_g
7	7	0.385	530_g	3302_g	897_g	3371_g	3281_g	3238_g	*	902_g
7	7	0.385	6514_g	1217_g	1818_g	1263_g	1199_g	583_g	*	193_g
7	7	0.385	6706_g	2912_g	5047_g	2991_g	2882_g	2724_g	*	277_g
7	7	0.385	7000_g	135_g	4609_g	148_g	128_g	804_g	*	2414_g
7	7	0.385	7228_g	4320_g	3811_g	4428_g	4328_g	2884_g	*	3147_g
7	7	0.385	7229_g	4319_g	3812_g	4425_g	4327_g	2885_g	*	3164_g
7	7	0.385	7230_g	2551_g	1035_g	2617_g	2525_g	2354_g	*	794_g
7	7	0.385	900_g	1539_g	1633_g	4488_g	1518_g	3345_g	*	2129_g
7	7	0.381	1162_g	3800_g	4038_g	3881_g	3795_g	2268_g	*	1318_g
7	7	0.381	2242_g	844_g	432_g	879_g	826_g	224_g	*	3597_g
7	7	0.381	2778_g	864_g	412_g	900_g	844_g	243_g	*	456_g
7	7	0.372	1861_g	4191_g	3148_g	4288_g	4203_g	624_g	*	48_g
7	7	0.372	2829_g	3126_g	4855_g	3201_g	3098_g	4180_g	*	1565_g
7	7	0.372	3626_g	2798_g	1232_g	2875_g	2774_g	1904_g	*	1001_g
7	7	0.372	400_g	1628_g	1546_g	1689_g	1603_g	2639_g	*	1596_g
7	7	0.372	4404_g	1290_g	1751_g	1335_g	1270_g	4704_g	*	982_g
7	7	0.369	2422_g	3436_g	5126_g	3514_g	3432_g	4582_g	*	3640_g
7	7	0.369	3334_g	2986_g	1166_g	3056_g	2940_g	3411_g	*	73_g
7	7	0.369	3563_g	4466_g	2623_g	4573_g	4471_g	3985_g	*	2090_g
7	7	0.369	3692_g	1447_g	2050_g	1493_g	1424_g	4078_g	*	3644_g
7	7	0.369	3847_g	1724_g	1453_g	1771_g	1694_g	2548_g	*	244_g
7	7	0.369	4026_g	4426_g	2581_g	4531_g	4429_g	4025_g	*	3495_g
7	7	0.369	4227_g	1115_g	1916_g	1153_g	1097_g	478_g	*	3213_g
7	7	0.363	2783_g	2922_g	5057_g	3001_g	2891_g	2714_g	*	33_g
7	7	0.363	6518_g	4134_g	3096_g	4232_g	4149_g	3580_g	*	1051_g
7	7	0.348	1146_g	4760_g	2908_g	4869_g	4759_g	3709_g	*	2367_g
7	7	0.348	1659_g	3540_g	3191_g	3617_g	3545_g	1822_g	*	1696_g
7	7	0.348	3355_g	4125_g	3089_g	4224_g	4141_g	3572_g	*	2014_g
7	7	0.348	3523_g	4505_g	2664_g	4618_g	4512_g	3945_g	*	319_g
7	7	0.346	3466_g	3659_g	3307_g	3744_g	3635_g	3076_g	*	3470_g
7	7	0.346	6769_g	2156_g	762_g	2209_g	2113_g	1207_g	*	3007_g
7	7	0.34	1322_g	2462_g	2455_g	2534_g	2421_g	1505_g	*	189_g
7	7	0.34	1913_g	3918_g	4159_g	4004_g	3914_g	2146_g	*	706_g
7	7	0.34	3356_g	4124_g	3088_g	4223_g	4140_g	3571_g	*	2013_g
7	7	0.34	4067_g	897_g	377_g	935_g	879_g	276_g	*	913_g
7	7	0.34	6517_g	4133_g	3095_g	4231_g	4148_g	3579_g	*	1052_g
7	7	0.34	6690_g	2882_g	5015_g	2958_g	2850_g	2754_g	*	2676_g
7	7	0.339	2137_g	638_g	3534_g	654_g	613_g	779_g	*	936_g
7	7	0.339	6382_g	4234_g	3895_g	4343_g	4243_g	665_g	*	1449_g
7	7	0.333	1043_g	1617_g	1556_g	1678_g	1592_g	2650_g	*	3144_g
7	7	0.324	1808_g	4693_g	2847_g	4802_g	4693_g	3767_g	*	1715_g
7	7	0.324	209_g	2487_g	2482_g	2561_g	2450_g	1532_g	*	1382_g
7	7	0.318	1343_g	3903_g	4142_g	3984_g	3897_g	2164_g	*	870_g
7	7	0.318	1551_g	2956_g	1144_g	3034_g	2921_g	3388_g	*	2321_g
7	7	0.318	3273_g	1706_g	1470_g	1761_g	1677_g	2564_g	*	1246_g
7	7	0.318	6466_g	2953_g	1141_g	3031_g	2918_g	3385_g	*	2350_g
7	7	0.318	6982_g	3432_g	5122_g	3510_g	3428_g	4578_g	*	1407_g
7	7	0.318	982_g	1984_g	109_g	2020_g	1943_g	1041_g	*	1422_g
7	7	0.312	2053_g	631_g	3539_g	648_g	606_g	4333_g	*	657_g
7	7	0.312	5584_g	4687_g	2841_g	4796_g	4686_g	3773_g	*	1322_g
7	7	0.312	960_g	4665_g	2818_g	4774_g	4664_g	3794_g	*	653_g
7	7	0.306	1883_g	2678_g	697_g	2752_g	2651_g	762_g	*	2430_g
7	7	0.306	2097_g	1293_g	1748_g	1338_g	1273_g	4707_g	*	991_g
7	7	0.301	1246_g	4183_g	3140_g	4281_g	4195_g	616_g	*	344_g
7	7	0.301	1575_g	3877_g	4117_g	3961_g	3870_g	2188_g	*	3093_g
7	7	0.301	2265_g	501_g	3669_g	512_g	480_g	1624_g	*	2458_g
7	7	0.301	2530_g	1954_g	80_g	1992_g	1915_g	1014_g	*	1835_g
7	7	0.301	3090_g	2050_g	173_g	2093_g	2008_g	1101_g	*	2477_g
7	7	0.296	2347_g	1368_g	1674_g	1415_g	1344_g	4778_g	*	3455_g
7	7	0.296	3362_g	23_g	4718_g	30_g	20_g	910_g	*	1852_g
7	7	0.286	*	670_g	3504_g	690_g	644_g	125_g	7838_g	2986_g
7	7	0.286	1304_g	2241_g	2226_g	2301_g	2198_g	1293_g	*	95_g
7	7	0.286	1790_g	3124_g	4857_g	3199_g	3096_g	4182_g	*	2145_g
7	7	0.286	2100_g	2950_g	1138_g	3026_g	2915_g	3383_g	*	2432_g
7	7	0.286	2297_g	154_g	4590_g	166_g	147_g	785_g	*	2497_g
7	7	0.286	2314_g	219_g	4529_g	232_g	208_g	4392_g	*	317_g
7	7	0.286	2746_g	4417_g	2572_g	4523_g	4420_g	4035_g	*	2678_g
7	7	0.286	2769_g	2255_g	2240_g	2316_g	2213_g	1305_g	*	1313_g
7	7	0.286	2808_g	1782_g	1393_g	1826_g	1752_g	2492_g	6514_g	*
7	7	0.286	2978_g	2218_g	2201_g	2279_g	2175_g	1269_g	*	2249_g
7	7	0.286	3368_g	2117_g	803_g	2166_g	2075_g	1169_g	*	563_g
7	7	0.286	3514_g	1655_g	1521_g	1714_g	1628_g	2615_g	*	3266_g
7	7	0.286	3876_g	451_g	537_g	460_g	434_g	1673_g	*	2208_g
7	7	0.286	4191_g	517_g	3653_g	533_g	496_g	1608_g	*	1941_g
7	7	0.286	4313_g	2291_g	2279_g	2359_g	2252_g	1343_g	*	1430_g
7	7	0.286	4316_g	2791_g	4329_g	2865_g	2767_g	1911_g	*	766_g
7	7	0.286	6334_g	106_g	4638_g	114_g	99_g	830_g	*	2011_g
7	7	0.286	6572_g	2593_g	1077_g	2664_g	2567_g	680_g	*	2131_g
7	7	0.286	6638_g	2920_g	5055_g	2999_g	2889_g	2716_g	*	598_g
7	7	0.286	884_g	3576_g	3229_g	3660_g	3712_g	3151_g	*	2545_g
7	7	0.281	1548_g	2153_g	765_g	2206_g	2110_g	1204_g	*	1292_g
7	7	0.281	2057_g	1181_g	1851_g	1226_g	1163_g	547_g	*	1101_g
7	7	0.273	1426_g	195_g	4549_g	212_g	189_g	4372_g	*	2680_g
7	7	0.273	1482_g	1593_g	1585_g	1641_g	1565_g	2675_g	*	295_g
7	7	0.273	1586_g	3199_g	4791_g	3272_g	3175_g	4120_g	*	120_g
7	7	0.273	2044_g	2038_g	160_g	2077_g	1995_g	1088_g	*	2796_g
7	7	0.273	2130_g	2740_g	4384_g	2808_g	2712_g	1962_g	*	1583_g
7	7	0.273	6605_g	3301_g	898_g	3370_g	3280_g	3237_g	*	903_g
7	7	0.273	6807_g	2412_g	2399_g	2481_g	2370_g	1460_g	*	824_g
7	7	0.273	6831_g	1938_g	65_g	1975_g	1900_g	999_g	*	2058_g
7	7	0.272	6548_g	4593_g	2751_g	4705_g	4598_g	3868_g	*	2544_g
7	7	0.27	1031_g	4385_g	3747_g	4496_g	4392_g	2823_g	*	2536_g
7	7	0.27	1901_g	4243_g	3886_g	4353_g	4253_g	2317_g	*	376_g
7	7	0.27	249_g	2453_g	2446_g	2525_g	2411_g	1497_g	*	1647_g
7	7	0.27	2784_g	2923_g	5058_g	3002_g	2892_g	2713_g	*	34_g
7	7	0.27	6859_g	847_g	429_g	882_g	829_g	227_g	*	3127_g
7	7	0.27	6889_g	685_g	3487_g	708_g	662_g	109_g	*	3075_g
7	7	0.27	715_g	2374_g	2362_g	2451_g	2333_g	1423_g	*	2795_g
7	7	0.269	1910_g	3065_g	4916_g	3132_g	3037_g	4241_g	*	1176_g
7	7	0.269	313_g	4436_g	2591_g	4541_g	4439_g	4016_g	*	3095_g
7	7	0.269	5014_g	775_g	495_g	812_g	761_g	4642_g	*	3480_g
7	7	0.269	5504_g	3653_g	3302_g	3736_g	3641_g	3082_g	*	2419_g
7	7	0.269	875_g	2826_g	1258_g	2902_g	2799_g	1877_g	*	1417_g
7	7	0.268	2275_g	1279_g	1764_g	1323_g	1257_g	4692_g	*	2826_g
7	7	0.268	6563_g	4092_g	3062_g	4186_g	4110_g	3541_g	*	2739_g
7	7	0.267	1515_g	3862_g	4101_g	3945_g	3854_g	2204_g	*	1003_g
7	7	0.267	2023_g	3379_g	824_g	3459_g	3363_g	4532_g	*	1586_g
7	7	0.267	2669_g	1572_g	1599_g	1626_g	1551_g	2692_g	*	413_g
7	7	0.266	1261_g	2585_g	1070_g	2658_g	2560_g	673_g	*	728_g
7	7	0.266	6835_g	2025_g	148_g	2064_g	1982_g	1076_g	*	100_g
7	7	0.262	2939_g	3865_g	4105_g	3949_g	3858_g	2200_g	*	458_g
7	7	0.262	2996_g	576_g	3595_g	592_g	553_g	4279_g	*	450_g
7	7	0.262	3168_g	3418_g	5109_g	3497_g	3415_g	4564_g	*	2059_g
7	7	0.26	2158_g	2320_g	2307_g	2388_g	2279_g	1370_g	*	2366_g
7	7	0.26	2631_g	1283_g	1759_g	1327_g	1262_g	4696_g	*	206_g
7	7	0.26	356_g	2765_g	4356_g	2834_g	2738_g	1937_g	*	2314_g
7	7	0.26	3670_g	2467_g	2459_g	2539_g	2426_g	1509_g	*	1843_g
7	7	0.26	4086_g	1209_g	1825_g	1255_g	1191_g	575_g	*	673_g
7	7	0.259	3342_g	3671_g	3318_g	3756_g	3625_g	3064_g	*	2171_g
7	7	0.259	4922_g	656_g	3517_g	675_g	630_g	139_g	*	3267_g
7	7	0.257	2239_g	2860_g	4993_g	2937_g	2829_g	2772_g	*	2844_g
7	7	0.255	1963_g	3020_g	1201_g	3090_g	2973_g	3446_g	*	140_g
7	7	0.255	3054_g	4788_g	2932_g	4894_g	4783_g	3685_g	*	1772_g
7	7	0.252	2231_g	88_g	4654_g	98_g	84_g	846_g	*	396_g
7	7	0.252	2934_g	2370_g	2359_g	2448_g	2330_g	1420_g	*	1572_g
7	7	0.252	4092_g	4726_g	2879_g	4839_g	4728_g	3737_g	*	1148_g
7	7	0.252	4484_g	4354_g	3776_g	4463_g	4364_g	2850_g	*	183_g
7	7	0.25	4392_g	931_g	342_g	971_g	915_g	309_g	*	234_g
7	7	0.248	1855_g	1100_g	1932_g	1135_g	1081_g	462_g	*	2226_g
7	7	0.247	1494_g	456_g	531_g	466_g	440_g	1667_g	*	678_g
7	7	0.247	3246_g	825_g	450_g	858_g	808_g	209_g	*	2744_g
7	7	0.247	412_g	3396_g	5095_g	3477_g	3379_g	4550_g	*	2448_g
7	7	0.247	435_g	1922_g	49_g	1957_g	1884_g	982_g	*	287_g
7	7	0.246	1180_g	2244_g	2229_g	2304_g	2201_g	1295_g	*	93_g
7	7	0.246	2533_g	3544_g	3196_g	3624_g	3551_g	1817_g	*	2904_g
7	7	0.246	538_g	624_g	3546_g	641_g	599_g	4326_g	*	685_g
7	7	0.245	6296_g	2476_g	2468_g	2548_g	2435_g	1517_g	*	554_g
7	7	0.243	327_g	1341_g	1701_g	1387_g	1320_g	4753_g	*	109_g
7	7	0.243	4055_g	4163_g	3123_g	4260_g	4177_g	3607_g	*	3408_g
7	7	0.242	1681_g	3332_g	866_g	3404_g	3311_g	4492_g	*	2951_g
7	7	0.242	1819_g	962_g	311_g	994_g	947_g	329_g	*	2549_g
7	7	0.242	1936_g	3834_g	4072_g	3914_g	3825_g	2235_g	*	752_g
7	7	0.241	1558_g	169_g	4576_g	180_g	163_g	4347_g	*	2629_g
7	7	0.241	665_g	11_g	4730_g	14_g	7_g	922_g	*	3000_g
7	7	0.241	756_g	2111_g	809_g	2159_g	2069_g	1163_g	*	2721_g
7	7	0.24	1020_g	2634_g	740_g	2708_g	2611_g	719_g	*	1484_g
7	7	0.239	3385_g	507_g	3663_g	519_g	486_g	1616_g	*	1616_g
7	7	0.237	1464_g	3633_g	3283_g	3717_g	3660_g	3101_g	*	3109_g
7	7	0.234	1199_g	1920_g	47_g	1955_g	1882_g	980_g	*	1705_g
7	7	0.234	133_g	470_g	519_g	483_g	452_g	1656_g	*	1906_g
7	7	0.233	1017_g	1773_g	1400_g	1820_g	1744_g	2498_g	*	1359_g
7	7	0.233	1384_g	3402_g	5101_g	3483_g	3385_g	4556_g	*	2937_g
7	7	0.233	3714_g	3310_g	888_g	3380_g	3290_g	3247_g	*	3115_g
7	7	0.233	745_g	1811_g	1368_g	1854_g	1778_g	2467_g	*	3240_g
7	7	0.228	3370_g	988_g	286_g	1019_g	972_g	353_g	*	2821_g
7	7	0.227	1267_g	2056_g	180_g	2101_g	2015_g	1108_g	*	2415_g
7	7	0.227	126_g	833_g	443_g	865_g	815_g	214_g	*	1007_g
7	7	0.227	2312_g	2164_g	2147_g	2219_g	2121_g	1214_g	*	787_g
7	7	0.227	2587_g	845_g	431_g	880_g	827_g	225_g	*	1169_g
7	7	0.227	2946_g	3939_g	4179_g	4023_g	3935_g	2128_g	*	1344_g
7	7	0.227	303_g	4509_g	2668_g	4622_g	4516_g	3942_g	*	323_g
7	7	0.227	3238_g	2174_g	2157_g	2231_g	2131_g	1224_g	*	3582_g
7	7	0.227	422_g	1745_g	1430_g	1788_g	1716_g	2527_g	*	487_g
7	7	0.227	5208_g	2805_g	1238_g	2881_g	2780_g	1898_g	*	593_g
7	7	0.227	559_g	1549_g	1623_g	1604_g	1528_g	3355_g	*	2185_g
7	7	0.227	61_g	1229_g	1807_g	1275_g	1210_g	594_g	*	271_g
7	7	0.227	640_g	3363_g	841_g	3438_g	3345_g	4516_g	*	3011_g
7	7	0.227	6452_g	3944_g	4184_g	4028_g	3940_g	2124_g	*	1973_g
7	7	0.227	6824_g	1734_g	1442_g	1776_g	1705_g	2539_g	*	4_g
7	7	0.227	741_g	1807_g	1372_g	1849_g	1774_g	2471_g	*	2839_g
7	7	0.227	75_g	3022_g	1203_g	3092_g	2975_g	3448_g	*	2519_g
7	7	0.223	1228_g	1752_g	1423_g	1795_g	1723_g	2520_g	*	959_g
7	7	0.223	124_g	835_g	441_g	867_g	817_g	216_g	*	1010_g
7	7	0.223	1510_g	1207_g	1827_g	1253_g	1190_g	573_g	*	401_g
7	7	0.223	1530_g	2331_g	2318_g	2399_g	2290_g	1381_g	*	2481_g
7	7	0.223	2346_g	1262_g	1779_g	1308_g	1241_g	4677_g	*	2003_g
7	7	0.222	1083_g	974_g	300_g	1005_g	958_g	339_g	*	2892_g
7	7	0.222	1833_g	4540_g	2701_g	4652_g	4549_g	3913_g	*	1350_g
7	7	0.222	3844_g	2028_g	151_g	2067_g	1985_g	1079_g	*	103_g
7	7	0.222	4300_g	579_g	3592_g	595_g	556_g	4282_g	*	2317_g
7	7	0.217	2152_g	1845_g	1332_g	1887_g	1813_g	2437_g	*	1615_g
7	7	0.217	2223_g	1172_g	1860_g	1214_g	1154_g	540_g	*	168_g
7	7	0.214	1624_g	3806_g	4044_g	3888_g	3799_g	2263_g	*	201_g
7	7	0.213	1497_g	1746_g	1429_g	1789_g	1717_g	2526_g	*	3436_g
7	7	0.213	1966_g	83_g	4660_g	92_g	78_g	852_g	*	1900_g
7	7	0.213	2037_g	1296_g	1745_g	1341_g	1276_g	4710_g	*	2052_g
7	7	0.213	3075_g	478_g	513_g	489_g	458_g	1650_g	*	178_g
7	7	0.213	4398_g	2204_g	*	2263_g	2160_g	1254_g	2214_g	1130_g
7	7	0.213	6631_g	3598_g	3250_g	3683_g	3691_g	3130_g	*	1753_g
7	7	0.212	4048_g	3555_g	3208_g	3636_g	3563_g	3172_g	*	2984_g
7	7	0.212	4477_g	4328_g	3803_g	4436_g	4337_g	2878_g	*	304_g
7	7	0.208	2427_g	3796_g	4034_g	3877_g	3791_g	2272_g	*	2080_g
7	7	0.208	3478_g	236_g	4510_g	252_g	224_g	4411_g	*	1347_g
7	7	0.208	6612_g	504_g	3666_g	516_g	483_g	1620_g	*	2939_g
7	7	0.207	4108_g	155_g	4589_g	167_g	148_g	4335_g	*	2566_g
7	7	0.206	6462_g	803_g	469_g	840_g	789_g	190_g	*	1108_g
7	7	0.205	1287_g	4270_g	3861_g	4388_g	4280_g	2934_g	*	1195_g
7	7	0.205	1950_g	4129_g	3093_g	4228_g	4145_g	3576_g	*	3548_g
7	7	0.205	3296_g	*	4697_g	49_g	39_g	891_g	4664_g	1308_g
7	7	0.205	620_g	2803_g	1236_g	2879_g	2778_g	1900_g	*	595_g
7	7	0.205	6473_g	1843_g	1334_g	1885_g	1811_g	2439_g	*	2503_g
7	7	0.205	6722_g	2301_g	2288_g	2367_g	2260_g	1352_g	*	335_g
7	7	0.205	6891_g	684_g	3489_g	707_g	660_g	111_g	*	3032_g
7	7	0.205	939_g	3012_g	1192_g	3081_g	2965_g	3437_g	*	907_g
7	7	0.203	1308_g	1590_g	1587_g	1639_g	1563_g	2677_g	*	3623_g
7	7	0.203	2094_g	1195_g	1839_g	1240_g	1177_g	561_g	*	1501_g
7	7	0.203	5333_g	487_g	503_g	498_g	467_g	1639_g	*	780_g
7	7	0.202	2439_g	969_g	304_g	1001_g	954_g	336_g	12474_g	*
7	7	0.202	2813_g	3792_g	4031_g	3873_g	3788_g	2276_g	*	1717_g
7	7	0.202	6134_g	93_g	4650_g	103_g	89_g	841_g	*	967_g
7	7	0.197	3418_g	2406_g	2393_g	2438_g	2364_g	1455_g	*	327_g
7	7	0.197	3430_g	1872_g	1307_g	1913_g	1836_g	2414_g	*	1813_g
7	7	0.197	3905_g	1596_g	1582_g	1644_g	1568_g	2672_g	*	292_g
7	7	0.197	5016_g	4725_g	2878_g	4838_g	4727_g	3738_g	*	3309_g
7	7	0.197	6857_g	1095_g	1938_g	1128_g	1075_g	456_g	*	519_g
7	7	0.196	3486_g	4402_g	3725_g	4513_g	4409_g	2804_g	*	2271_g
7	7	0.193	3998_g	3631_g	3281_g	3715_g	3662_g	3103_g	*	3348_g
7	7	0.189	1706_g	1471_g	2076_g	1518_g	1450_g	3286_g	*	1527_g
7	7	0.188	1266_g	2057_g	181_g	2102_g	2016_g	1109_g	*	2416_g
7	7	0.188	3064_g	1997_g	122_g	2037_g	1956_g	1054_g	*	1642_g
7	7	0.188	3333_g	2985_g	1165_g	3055_g	2939_g	3410_g	*	74_g
7	7	0.188	4064_g	894_g	380_g	932_g	876_g	273_g	*	1998_g
7	7	0.188	4406_g	1288_g	1753_g	1333_g	1268_g	4702_g	*	984_g
7	7	0.188	5917_g	4778_g	2925_g	4885_g	4776_g	3692_g	*	2099_g
7	7	0.188	6642_g	4479_g	2636_g	4592_g	4486_g	3972_g	*	1490_g
7	7	0.186	1165_g	3797_g	4035_g	3878_g	3792_g	2271_g	*	2342_g
7	7	0.186	2731_g	2648_g	724_g	2725_g	2626_g	735_g	*	3576_g
7	7	0.186	475_g	1266_g	1775_g	1312_g	1245_g	4681_g	*	3396_g
7	7	0.186	7178_g	4522_g	2681_g	4636_g	4530_g	3930_g	*	2647_g
7	7	0.181	2888_g	1081_g	1952_g	1114_g	1061_g	441_g	*	810_g
7	7	0.181	3758_g	1929_g	56_g	1966_g	1892_g	990_g	*	2726_g
7	7	0.181	4151_g	1438_g	2040_g	1484_g	1415_g	4070_g	*	3633_g
7	7	0.181	6391_g	2223_g	2210_g	2284_g	2180_g	1275_g	*	622_g
7	7	0.18	1931_g	1199_g	1835_g	1244_g	1182_g	566_g	*	2921_g
7	7	0.18	1986_g	3651_g	3300_g	3734_g	3643_g	3084_g	*	2182_g
7	7	0.18	555_g	1252_g	1788_g	1298_g	1231_g	4667_g	*	217_g
7	7	0.18	6389_g	5013_g	3931_g	4299_g	4210_g	631_g	*	2325_g
7	7	0.175	3233_g	436_g	550_g	448_g	421_g	1686_g	*	3590_g
7	7	0.173	1393_g	2327_g	2314_g	2395_g	2286_g	1377_g	*	3522_g
7	7	0.173	2629_g	1755_g	1420_g	1798_g	1726_g	2517_g	*	2703_g
7	7	0.169	3290_g	597_g	3575_g	614_g	572_g	4299_g	*	152_g
7	7	0.165	1459_g	2133_g	787_g	2184_g	2090_g	1184_g	6749_g	*
7	7	0.165	2637_g	2062_g	186_g	2107_g	2021_g	1114_g	*	1386_g
7	7	0.165	3309_g	3382_g	821_g	3462_g	3366_g	4535_g	*	3380_g
7	7	0.162	2547_g	1678_g	1498_g	1736_g	1651_g	2592_g	*	1915_g
7	7	0.162	326_g	3666_g	3313_g	3750_g	3630_g	3069_g	*	670_g
7	7	0.161	1544_g	3343_g	855_g	3414_g	3323_g	4503_g	*	1175_g
7	7	0.161	4387_g	687_g	3485_g	712_g	664_g	107_g	*	2164_g
7	7	0.159	4221_g	4558_g	2719_g	4673_g	4567_g	3896_g	*	2201_g
7	7	0.155	2611_g	4723_g	2875_g	4835_g	4724_g	3741_g	*	2195_g
7	7	0.155	4019_g	1093_g	1940_g	1126_g	1073_g	454_g	*	1675_g
7	7	0.155	646_g	495_g	3676_g	506_g	475_g	1630_g	*	1149_g
7	7	0.154	1928_g	2138_g	782_g	2189_g	2095_g	1189_g	*	930_g
7	7	0.154	2967_g	2397_g	2384_g	2473_g	2355_g	1445_g	*	1960_g
7	7	0.153	1401_g	366_g	616_g	373_g	355_g	1748_g	*	1265_g
7	7	0.153	2072_g	144_g	4601_g	157_g	137_g	796_g	*	2199_g
7	7	0.149	1280_g	2824_g	1256_g	2898_g	2797_g	1879_g	*	2285_g
7	7	0.149	3924_g	1405_g	1638_g	1449_g	1381_g	4813_g	*	2716_g
7	7	0.145	1193_g	1860_g	1317_g	1902_g	1825_g	2425_g	*	284_g
7	7	0.145	2752_g	500_g	3670_g	511_g	479_g	1625_g	*	2521_g
7	7	0.143	1416_g	3872_g	4112_g	3956_g	3865_g	2193_g	*	1750_g
7	7	0.143	149_g	1230_g	1806_g	1276_g	1211_g	595_g	*	272_g
7	7	0.143	1896_g	4414_g	2569_g	4520_g	4417_g	4038_g	6423_g	*
7	7	0.143	1898_g	148_g	4597_g	160_g	141_g	792_g	*	2485_g
7	7	0.143	2103_g	1145_g	1884_g	1188_g	1128_g	509_g	*	2280_g
7	7	0.143	2136_g	637_g	3535_g	653_g	612_g	780_g	*	2032_g
7	7	0.143	2143_g	1813_g	1366_g	1856_g	1780_g	2465_g	*	843_g
7	7	0.143	2176_g	4703_g	2856_g	4814_g	4703_g	3758_g	9935_g	*
7	7	0.143	2262_g	4596_g	2754_g	4708_g	4601_g	3865_g	*	2105_g
7	7	0.143	2363_g	560_g	3612_g	576_g	537_g	1569_g	*	1438_g
7	7	0.143	2463_g	28_g	4711_g	35_g	25_g	905_g	*	2002_g
7	7	0.143	2650_g	77_g	4665_g	86_g	72_g	858_g	*	2751_g
7	7	0.143	2696_g	1218_g	1817_g	1264_g	1200_g	584_g	*	194_g
7	7	0.143	295_g	4389_g	3743_g	4500_g	4396_g	2819_g	*	3501_g
7	7	0.143	3308_g	3383_g	820_g	3463_g	3367_g	4536_g	*	3381_g
7	7	0.143	3373_g	1004_g	271_g	1038_g	986_g	367_g	*	1443_g
7	7	0.143	3439_g	4722_g	2874_g	4834_g	4723_g	3742_g	*	740_g
7	7	0.143	3573_g	2993_g	1173_g	3063_g	2947_g	3418_g	13469_g	*
7	7	0.143	3755_g	692_g	3479_g	718_g	669_g	102_g	*	297_g
7	7	0.143	3779_g	3531_g	3182_g	3609_g	3536_g	1831_g	*	1621_g
7	7	0.143	4020_g	1094_g	1939_g	1127_g	1074_g	455_g	*	1676_g
